1785125583551804320 cluster=intermediate_queue_0 done=82 window_fps=19.08
1785125583785597124 cluster=intermediate_queue_0 done=83 window_fps=20.11
1785125585193900771 cluster=intermediate_queue_1 done=19 window_fps=4.67
1785125588179263999 cluster=intermediate_queue_0 done=84 window_fps=17.16
1785125588584072402 cluster=intermediate_queue_1 done=20 window_fps=4.65
1785125590734928554 cluster=intermediate_queue_0 done=85 window_fps=17.35
1785125591405989088 cluster=intermediate_queue_0 done=86 window_fps=18.67
1785125591614617380 cluster=intermediate_queue_1 done=21 window_fps=4.63
1785125592763006569 cluster=intermediate_queue_0 done=87 window_fps=19.18
1785125594488890176 cluster=intermediate_queue_0 done=88 window_fps=19.41
1785125597348933442 cluster=intermediate_queue_0 done=89 window_fps=18.80
1785125598020647332 cluster=intermediate_queue_0 done=90 window_fps=19.18
1785125598868876698 cluster=intermediate_queue_0 done=91 window_fps=19.19
1785125599542742739 cluster=intermediate_queue_0 done=92 window_fps=19.97
1785125602884373245 cluster=intermediate_queue_0 done=93 window_fps=17.77
1785125607123047673 cluster=intermediate_queue_0 done=94 window_fps=16.75
1785125607195793102 cluster=intermediate_queue_0 done=95 window_fps=17.98
1785125607694271957 cluster=intermediate_queue_1 done=22 window_fps=4.60
1785125608770998559 cluster=intermediate_queue_0 done=96 window_fps=17.41
1785125610279342724 cluster=intermediate_queue_1 done=23 window_fps=4.59
1785125611209071612 cluster=intermediate_queue_0 done=97 window_fps=17.36
1785125612492360428 cluster=intermediate_queue_0 done=98 window_fps=16.72
1785125612906896852 cluster=intermediate_queue_1 done=24 window_fps=4.59
1785125614310735242 cluster=intermediate_queue_0 done=99 window_fps=18.37
1785125615029383840 cluster=intermediate_queue_0 done=100 window_fps=19.76
1785125615827320644 cluster=intermediate_queue_0 done=101 window_fps=19.65
1785125618093575974 cluster=intermediate_queue_0 done=102 window_fps=18.95
1785125622124691389 cluster=intermediate_queue_0 done=103 window_fps=17.37
1785125622379413731 cluster=intermediate_queue_0 done=104 window_fps=19.18
1785125623648317945 cluster=intermediate_queue_0 done=105 window_fps=18.73
1785125627755888894 cluster=intermediate_queue_0 done=106 window_fps=16.62
1785125628029123058 cluster=intermediate_queue_0 done=107 window_fps=16.85
1785125628127696018 cluster=intermediate_queue_1 done=25 window_fps=4.60
1785125630923624748 cluster=intermediate_queue_0 done=108 window_fps=17.12
1785125631079902131 cluster=intermediate_queue_0 done=109 window_fps=20.04
1785125631193144581 cluster=intermediate_queue_1 done=26 window_fps=4.55
1785125632958754132 cluster=intermediate_queue_0 done=110 window_fps=18.63
1785125633721078056 cluster=intermediate_queue_1 done=27 window_fps=4.56
1785125634984251908 cluster=intermediate_queue_0 done=111 window_fps=18.31
1785125637695401005 cluster=intermediate_queue_0 done=112 window_fps=18.12
1785125638082262284 cluster=intermediate_queue_0 done=113 window_fps=18.76
1785125639601665252 cluster=intermediate_queue_0 done=114 window_fps=18.98
1785125642831333677 cluster=intermediate_queue_0 done=115 window_fps=17.26
1785125643788120509 cluster=intermediate_queue_0 done=116 window_fps=17.17
1785125645409229151 cluster=intermediate_queue_0 done=117 window_fps=17.57
1785125645822789993 cluster=intermediate_queue_0 done=118 window_fps=20.25
1785125647910655287 cluster=intermediate_queue_0 done=119 window_fps=18.80
1785125648461423881 cluster=intermediate_queue_1 done=28 window_fps=4.61
1785125649940353728 cluster=intermediate_queue_0 done=120 window_fps=18.26
1785125650940692515 cluster=intermediate_queue_1 done=29 window_fps=4.63
