1785128005458562391 cluster=intermediate_queue_0 done=82 window_fps=20.98
1785128005676781626 cluster=intermediate_queue_1 done=19 window_fps=5.08
1785128008207385573 cluster=intermediate_queue_1 done=20 window_fps=5.08
1785128008555916179 cluster=intermediate_queue_0 done=83 window_fps=18.72
1785128009138860725 cluster=intermediate_queue_0 done=84 window_fps=20.16
1785128011716261812 cluster=intermediate_queue_0 done=85 window_fps=18.45
1785128012213227933 cluster=intermediate_queue_1 done=21 window_fps=5.03
1785128012894551787 cluster=intermediate_queue_0 done=86 window_fps=19.23
1785128014737565410 cluster=intermediate_queue_1 done=22 window_fps=5.91
1785128015404904390 cluster=intermediate_queue_0 done=87 window_fps=17.74
1785128016663022295 cluster=intermediate_queue_0 done=88 window_fps=18.67
1785128018262925652 cluster=intermediate_queue_1 done=23 window_fps=5.84
1785128018864819341 cluster=intermediate_queue_0 done=89 window_fps=17.98
1785128019791620037 cluster=intermediate_queue_0 done=90 window_fps=19.33
1785128022287862501 cluster=intermediate_queue_1 done=24 window_fps=5.81
1785128022751321687 cluster=intermediate_queue_0 done=91 window_fps=17.63
1785128022857806138 cluster=intermediate_queue_0 done=92 window_fps=19.68
1785128025413061511 cluster=intermediate_queue_1 done=25 window_fps=6.52
1785128026004494911 cluster=intermediate_queue_0 done=93 window_fps=17.91
1785128026692247497 cluster=intermediate_queue_0 done=94 window_fps=18.80
1785128028809713588 cluster=intermediate_queue_1 done=26 window_fps=6.49
1785128029459634649 cluster=intermediate_queue_0 done=95 window_fps=17.40
1785128029985713645 cluster=intermediate_queue_0 done=96 window_fps=18.97
1785128031650331878 cluster=intermediate_queue_1 done=27 window_fps=6.55
1785128032979731393 cluster=intermediate_queue_0 done=97 window_fps=17.44
1785128034124272326 cluster=intermediate_queue_0 done=98 window_fps=18.77
1785128035209177453 cluster=intermediate_queue_1 done=28 window_fps=7.67
1785128036290762063 cluster=intermediate_queue_0 done=99 window_fps=17.68
1785128037702224609 cluster=intermediate_queue_0 done=100 window_fps=18.47
1785128038689672646 cluster=intermediate_queue_1 done=29 window_fps=7.68
1785128039850368315 cluster=intermediate_queue_0 done=101 window_fps=17.81
1785128041817229234 cluster=intermediate_queue_0 done=102 window_fps=18.17
1785128041912187610 cluster=intermediate_queue_1 done=30 window_fps=7.59
1785128043287016832 cluster=intermediate_queue_0 done=103 window_fps=18.03
1785128045349708410 cluster=intermediate_queue_0 done=104 window_fps=18.12
1785128045493718047 cluster=intermediate_queue_1 done=31 window_fps=9.08
1785128046876699677 cluster=intermediate_queue_0 done=105 window_fps=17.72
1785128048808990471 cluster=intermediate_queue_1 done=32 window_fps=9.03
1785128049189329655 cluster=intermediate_queue_0 done=106 window_fps=18.16
1785128050568428740 cluster=intermediate_queue_0 done=107 window_fps=17.32
1785128052116455804 cluster=intermediate_queue_1 done=33 window_fps=8.98
1785128052950787490 cluster=intermediate_queue_0 done=108 window_fps=17.81
1785128053975091516 cluster=intermediate_queue_0 done=109 window_fps=17.59
1785128055355648493 cluster=intermediate_queue_1 done=34 window_fps=9.66
1785128056899944657 cluster=intermediate_queue_0 done=110 window_fps=17.49
1785128057912792774 cluster=intermediate_queue_0 done=111 window_fps=17.19
1785128058936124365 cluster=intermediate_queue_1 done=35 window_fps=9.46
1785128060556740943 cluster=intermediate_queue_0 done=112 window_fps=17.41
1785128061488391263 cluster=intermediate_queue_0 done=113 window_fps=17.54
1785128062399994843 cluster=intermediate_queue_1 done=36 window_fps=9.56
1785128064485253252 cluster=intermediate_queue_0 done=114 window_fps=17.02
1785128065134737248 cluster=intermediate_queue_0 done=115 window_fps=17.50
1785128065597324630 cluster=intermediate_queue_1 done=37 window_fps=9.44
1785128068270234043 cluster=intermediate_queue_0 done=116 window_fps=16.89
1785128068606432129 cluster=intermediate_queue_0 done=117 window_fps=17.92
1785128068782040127 cluster=intermediate_queue_1 done=38 window_fps=9.50
1785128071737908661 cluster=intermediate_queue_0 done=118 window_fps=16.87
1785128072128084610 cluster=intermediate_queue_0 done=119 window_fps=17.92
1785128072495253387 cluster=intermediate_queue_1 done=39 window_fps=9.56
1785128075367413259 cluster=intermediate_queue_0 done=120 window_fps=16.85
1785128075734983914 cluster=intermediate_queue_0 done=121 window_fps=18.08
1785128076064482838 cluster=intermediate_queue_1 done=40 window_fps=9.48
1785128078623772652 cluster=intermediate_queue_0 done=122 window_fps=17.11
1785128079306861102 cluster=intermediate_queue_1 done=41 window_fps=9.51
1785128079525967797 cluster=intermediate_queue_0 done=123 window_fps=18.06
1785128082066717649 cluster=intermediate_queue_0 done=124 window_fps=17.09
1785128082764984570 cluster=intermediate_queue_1 done=42 window_fps=9.39
1785128083299193903 cluster=intermediate_queue_0 done=125 window_fps=18.18
1785128085420563089 cluster=intermediate_queue_0 done=126 window_fps=17.45
1785128086600036283 cluster=intermediate_queue_1 done=43 window_fps=9.34
1785128086641156449 cluster=intermediate_queue_0 done=127 window_fps=18.40
1785128088929812522 cluster=intermediate_queue_0 done=128 window_fps=17.49
1785128089946271875 cluster=intermediate_queue_0 done=129 window_fps=18.85
1785128090479923413 cluster=intermediate_queue_1 done=44 window_fps=9.27
1785128092328334853 cluster=intermediate_queue_0 done=130 window_fps=17.65
1785128093798086559 cluster=intermediate_queue_0 done=131 window_fps=18.80
1785128093869943682 cluster=intermediate_queue_1 done=45 window_fps=9.24
1785128096104863693 cluster=intermediate_queue_0 done=132 window_fps=17.46
1785128097323894377 cluster=intermediate_queue_1 done=46 window_fps=9.26
1785128097346602182 cluster=intermediate_queue_0 done=133 window_fps=18.74
1785128099579975696 cluster=intermediate_queue_0 done=134 window_fps=17.49
1785128100446084013 cluster=intermediate_queue_1 done=47 window_fps=9.30
1785128101351937518 cluster=intermediate_queue_0 done=135 window_fps=18.47
1785128103281411214 cluster=intermediate_queue_0 done=136 window_fps=17.43
1785128103641158404 cluster=intermediate_queue_1 done=48 window_fps=9.32
1785128104624819490 cluster=intermediate_queue_0 done=137 window_fps=18.46
1785128106773198393 cluster=intermediate_queue_0 done=138 window_fps=17.62
1785128107181576480 cluster=intermediate_queue_1 done=49 window_fps=9.26
1785128108143274698 cluster=intermediate_queue_0 done=139 window_fps=18.41
1785128110357908415 cluster=intermediate_queue_0 done=140 window_fps=17.74
1785128110860142680 cluster=intermediate_queue_1 done=50 window_fps=9.24
1785128111750062927 cluster=intermediate_queue_0 done=141 window_fps=18.23
1785128113620692573 cluster=intermediate_queue_0 done=142 window_fps=17.79
1785128114537370931 cluster=intermediate_queue_1 done=51 window_fps=9.21
1785128115563895788 cluster=intermediate_queue_0 done=143 window_fps=18.02
1785128117536857432 cluster=intermediate_queue_0 done=144 window_fps=17.40
1785128117734260149 cluster=intermediate_queue_1 done=52 window_fps=9.21
1785128118825606989 cluster=intermediate_queue_0 done=145 window_fps=18.12
1785128121275269940 cluster=intermediate_queue_1 done=53 window_fps=9.14
1785128121289398369 cluster=intermediate_queue_0 done=146 window_fps=17.46
1785128122103999090 cluster=intermediate_queue_0 done=147 window_fps=18.46
1785128124663896129 cluster=intermediate_queue_0 done=148 window_fps=17.57
1785128125023988222 cluster=intermediate_queue_1 done=54 window_fps=9.14
1785128125837264048 cluster=intermediate_queue_0 done=149 window_fps=18.28
1785128128343273289 cluster=intermediate_queue_0 done=150 window_fps=17.78
1785128128417789724 cluster=intermediate_queue_1 done=55 window_fps=9.17
1785128129496099451 cluster=intermediate_queue_0 done=151 window_fps=18.31
